课时编号,章,节/小节,课题名称,课型,教材印刷页,PDF物理页,建议课时数,课时分钟,核心知识,前置知识,教学重点,教学难点,对应例题/栏目,对应练习,对应作业范围,需图形/图表,适合探究
C08-L07,第8章 实数,阅读与思考、数学活动,根号2的无理性与实数数学活动,activity_lesson,58—59,65—66,1,45,反证思想直观；无理数认识；实数活动探究,无理数与实数,读懂根号2不是有理数的论证思路,在初中阶段理解反证思路而不过度形式化,阅读与思考“为什么√2不是有理数”；教材第59页数学活动,阅读记录与活动任务,活动结论整理,否,是
C08-L08,第8章 实数,小结与复习题8,实数章末复习,review_lesson,60—62,67—69,1,45,平方根；立方根；无理数与实数；实数运算,第八章全部内容,构建开方与实数知识网络,综合运用估算、分类和运算,教材小结典型问题,教材复习题8,复习题8分层选题,否,否
C09-L01,第9章 平面直角坐标系,9.1,平面直角坐标系与点的坐标,new_lesson,63—65,70—72,1,45,平面直角坐标系；坐标轴与原点；象限；有序数对,数轴；垂直,由点确定坐标并由坐标描点,有序数对的顺序和象限符号,教材9.1例1,教材第65页练习,描点、读点与象限判断,是,是
C09-L02,第9章 平面直角坐标系,9.1,用坐标描述图形和位置,new_lesson,66—71,73—78,1,45,用关键点坐标描述图形；建立适当坐标系；经纬度表示位置,点的坐标；简单平面图形,选择原点和坐标轴简化坐标,不同坐标系下坐标的变化,教材9.1例2；阅读与思考“用经纬度表示地理位置”,教材第68—70页练习与9.1习题,建立坐标系描述实际位置,是,是
C09-L03,第9章 平面直角坐标系,9.2,用方向和距离描述位置,new_lesson,72—73,79—80,1,45,位置描述；方位角；方向与距离,平面直角坐标系；角与线段,用方向和距离唯一确定位置,规范表达方位角和实际距离,教材9.2例1,教材第73页练习,实际位置示意图,是,是
C09-L04,第9章 平面直角坐标系,9.2,点的平移与坐标变化,new_lesson,74—76,81—83,1,45,点左右平移横坐标变化；点上下平移纵坐标变化；图形连续平移,平移；点的坐标,由平移方向和距离写出新坐标,符号变化与方向的对应,教材9.2例2,教材第76页练习,点与简单图形的坐标平移,是,是
C09-L05,第9章 平面直角坐标系,9.2,坐标变化与图形平移,new_lesson,77—81,84—88,1,45,整体坐标变化；图形平移方向与距离；坐标方法应用,点的平移与坐标变化,由顶点坐标变化判断图形平移,从多个点的坐标差归纳统一平移,教材9.2例3,教材第78页练习与9.2习题,坐标平移综合题,是,是
C09-L06,第9章 平面直角坐标系,数学活动,平面直角坐标系数学活动,activity_lesson,82,89,1,45,坐标确定位置；坐标变化规律,第九章新授内容,用坐标方法完成活动并解释结果,从操作结果抽象坐标规律,教材第82页数学活动,活动记录与展示,活动报告完善,是,是
C09-L07,第9章 平面直角坐标系,小结与复习题9,平面直角坐标系章末复习,review_lesson,83—86,90—93,1,45,点的坐标；坐标描述位置；坐标与平移,第九章全部内容,建立“位置—坐标—变化”知识结构,选择适当坐标方法解决综合问题,教材小结典型问题,教材复习题9,复习题9分层选题,是,否
C10-L01,第10章 二元一次方程组,10.1,二元一次方程组的概念,new_lesson,87—90,94—97,1,45,二元一次方程；二元一次方程组；方程组的解,一元一次方程；有序数对,识别二元一次方程组并检验解,理解方程组的解必须同时满足两个方程,教材10.1情境与概念例,教材第89—90页练习与习题10.1,概念辨析与解的检验,否,是
C10-L02,第10章 二元一次方程组,10.2.1,代入消元法,new_lesson,91—94,98—101,1,45,消元思想；代入消元法；代入法步骤,二元一次方程组；等式变形；一元一次方程,选取易表示的未知数完成代入,规范变形并防止代入符号错误,教材10.2例1；教材10.2例2；教材10.2例3；教材10.2例4,教材第93—94页练习,代入法解方程组,否,是
C10-L03,第10章 二元一次方程组,10.2.2,加减消元法的基本应用,new_lesson,95—96,102—103,1,45,加减消元法；系数相等或互为相反数时消元,等式性质；代入消元法,判断相加还是相减,整式整体相加减时的符号,教材10.2例5；教材10.2例6,教材第96页练习,直接加减消元,否,是
C10-L04,第10章 二元一次方程组,10.2.2,加减消元法的灵活应用,new_lesson,97—100,104—107,1,45,方程倍乘后消元；消元方法选择；二元一次方程组应用,加减消元法基本步骤,构造相等或相反系数,选择简便消元方案并保证方程整体同乘,教材10.2例7；教材古代“牛羊问价”问题,教材第98页练习与习题10.2,代入法与加减法综合选用,否,是
C10-L05,第10章 二元一次方程组,10.3,实际问题与二元一次方程组（一）,new_lesson,101—103,108—110,1,45,两个未知量的建模；相等关系；检验实际意义,二元一次方程组解法；列一元一次方程,从两个数量关系列方程组,从文字、图形和比例中提取相等关系,教材10.3探究1；教材10.3探究2,教材第101—103页练习,基础实际问题建模,是,是
C10-L06,第10章 二元一次方程组,10.3,实际问题与二元一次方程组（二）,new_lesson,104—106,111—113,1,45,表格建模；费用与产量关系；方程组应用检验,实际问题与二元一次方程组基础,借助表格整理复杂数量关系,单位统一和实际答案解释,教材10.3探究3,教材10.3习题,复杂数量关系与综合应用,是,是
C10-L07,第10章 二元一次方程组,10.4,三元一次方程组的解法,new_lesson,107—111,114—118,1,45,三元一次方程组；逐步消元；选学内容,二元一次方程组消元法,把三元方程组转化为二元方程组,设计合理的逐步消元顺序,教材10.4例题,教材10.4练习,三元一次方程组选学题,否,是
C10-L08,第10章 二元一次方程组,图说数学史、阅读与思考,中国古代的多元一次方程组,activity_lesson,112—114,119—121,1,45,中国古代消元思想；一次不定方程组问题,二元与三元一次方程组,用现代语言解释古代算法,区分确定方程组与不定方程问题,图说数学史“解多元一次方程组”；阅读与思考“一次不定方程组问题”,阅读记录与探究问题,数学史短报告,是,是
C10-L09,第10章 二元一次方程组,数学活动,二元一次方程组数学活动,activity_lesson,115—116,122—123,1,45,方程组建模；数据与关系探究,第十章新授内容,合作完成建模、求解和解释,评价模型是否符合实际,教材第115—116页数学活动,活动记录与展示,活动报告完善,是,是
C10-L10,第10章 二元一次方程组,小结与复习题10,二元一次方程组章末复习,review_lesson,117—119,124—126,1,45,方程组概念；代入与加减消元；实际应用；三元方程组,第十章全部内容,构建“建模—消元—求解—检验”流程,综合选择解法并解释实际结果,教材小结典型问题,教材复习题10,复习题10分层选题,否,否
C11-L01,第11章 不等式与不等式组,11.1,不等式及其解集,new_lesson,120—123,127—130,1,45,不等式；不等式的解；解集；用数轴表示解集,等式；数轴；大小比较,区分一个解与解集,把文字范围、符号和数轴表示互相转换,教材11.1例1；教材11.1例2,教材第122—123页练习,不等式列式、解与解集辨析,是,是
C11-L02,第11章 不等式与不等式组,11.1,不等式的性质,new_lesson,124—126,131—133,1,45,不等式三条性质；利用性质解简单不等式,等式性质；数的大小,乘除负数时改变不等号方向,理解性质3并避免方向错误,教材11.1例3,教材第125—126页练习,不等式性质与简单解集,是,是
C11-L03,第11章 不等式与不等式组,11.1,不等式的应用与比较大小,new_lesson,127—130,134—137,1,45,实际问题中的不等关系；解集范围；求差法比较大小,不等式性质,从实际限制列不等式并解释解集,确定是否包含端点,教材11.1例4；阅读与思考“用求差法比较大小”,教材11.1习题,不等式实际应用与比较,是,是
C11-L04,第11章 不等式与不等式组,11.2,解一元一次不等式,new_lesson,131—132,138—139,1,45,一元一次不等式；解法步骤；数轴表示,一元一次方程；不等式性质,按步骤解不等式并表示解集,去分母、去括号和系数化1中的方向变化,教材11.2例1,教材第132页练习,一元一次不等式计算,是,是
C11-L05,第11章 不等式与不等式组,11.2,一元一次不等式的应用,new_lesson,133—137,140—144,1,45,不等式建模；至少至多问题；方案比较,解一元一次不等式,由限制条件建立不等式模型,结合整数性和实际意义确定答案,教材11.2例2；教材11.2例3；教材11.2例4,教材11.2习题,一元一次不等式应用分层题,否,是
C11-L06,第11章 不等式与不等式组,11.3,一元一次不等式组,new_lesson,138—141,145—148,1,45,一元一次不等式组；公共解集；数轴法；整数解,一元一次不等式,分别求解并取解集公共部分,正确判断无解和端点取舍,教材11.3例1；教材11.3例2,教材第140页练习与11.3习题,不等式组与整数解,是,是
C11-L07,第11章 不等式与不等式组,数学活动,不等式与不等式组数学活动,activity_lesson,142,149,1,45,不等关系探究；解集表示,第十一章新授内容,用不等式模型解释活动结果,从活动条件归纳变量范围,教材第142页数学活动,活动记录与展示,活动报告完善,是,是
C11-L08,第11章 不等式与不等式组,小结与复习题11,不等式与不等式组章末复习,review_lesson,143—145,150—152,1,45,不等式；一元一次不等式；不等式组；实际应用,第十一章全部内容,构建“列式—求解—表示—解释”流程,综合处理端点、整数解和实际限制,教材小结典型问题,教材复习题11,复习题11分层选题,是,否
C11-L09,第11章 不等式与不等式组,综合与实践,低碳生活,integrated_practice,146—149,153—156,1,45,数据收集；碳足迹计算；不等式决策；合作研究,不等式与不等式组；百分数与统计表,把低碳目标转化为可计算方案,数据来源、单位统一和方案评价,综合与实践“低碳生活”,团队任务、成果展示与多元评价,个人低碳行动方案,是,是
C12-L01,第12章 数据的收集、整理与描述,12.1,全面调查与数据整理,new_lesson,150—153,157—160,1,45,统计调查步骤；全面调查；划记法；频数与百分比；条形图和扇形图,百分数；简单统计表和统计图,经历收集、整理、描述和分析数据全过程,根据调查目的设计合理问题和表格,教材12.1课外活动调查,教材第153页练习,小型全面调查,是,是
C12-L02,第12章 数据的收集、整理与描述,12.1,抽样调查,new_lesson,154—155,161—162,1,45,总体；个体；样本；样本容量；简单随机抽样,全面调查；百分比,判断调查方式并识别总体和样本,理解样本代表性和随机性,教材育人中学抽样调查,教材第155页练习,抽样概念与调查方式辨析,是,是
C12-L03,第12章 数据的收集、整理与描述,12.1-探究与发现,统计调查的选择与实践,activity_lesson,156—159,163—166,1,45,调查方式选择；样本代表性；用样本估计总体,全面调查与抽样调查,根据对象、成本和精度选择调查方式,评价抽样方案是否合理,探究与发现“瓶子中有多少粒豆子”,教材12.1习题与豆子实验,调查方案设计与反思,是,是
C12-L04,第12章 数据的收集、整理与描述,12.2,条形图与扇形图,new_lesson,160—162,167—169,1,45,条形图；扇形图；圆心角计算；统计图选择,频数与百分比；圆周角度,根据数据特点选择并绘制统计图,把百分比准确转化为圆心角,教材12.2例1,教材第162页练习,条形图与扇形图绘制,是,是
C12-L05,第12章 数据的收集、整理与描述,12.2,复合条形图与复合折线图,new_lesson,163—164,170—171,1,45,复合条形图；复合折线图；多组数据比较,条形图；折线图,用同一图表比较两组数据,读图时区分图例、单位和变化趋势,教材12.2例2,教材第164页练习,复合统计图读图与绘图,是,是
C12-L06,第12章 数据的收集、整理与描述,12.2,频数分布表与直方图,new_lesson,165—167,172—174,1,45,极差；组距与组数；频数分布表；频数分布直方图,数据整理；条形图,按步骤整理分组数据并绘制直方图,分组边界与左闭右开区间,教材仪仗队身高数据,教材第167页练习,频数分布表与直方图,是,是
C12-L07,第12章 数据的收集、整理与描述,12.2,直方图的应用与解释,new_lesson,168—170,175—177,1,45,分组数据整理；直方图解释；用样本估计总体分布,频数分布表与直方图,从直方图描述数据集中范围,由样本分布作合理而有限的推断,教材12.2例3,教材第169—170页练习,直方图综合应用,是,是
C12-L08,第12章 数据的收集、整理与描述,12.2,用趋势图描述两个量的关系,new_lesson,171—174,178—181,1,45,散点直观；趋势图；两个量的变化关系；预测,坐标系；折线图；数据描述,从散点分布判断总体趋势,理解趋势表示近似关系而非精确函数,教材冷饮销量与最高气温问题,教材第174页练习,趋势读图、描述与预测,是,是
C12-L09,第12章 数据的收集、整理与描述,12.2,统计图的选择与综合应用,practice_lesson,175—177,182—184,1,45,统计图选择；数据比较；分组数据；趋势解释,12.2各种统计图,根据问题目的选择合适图表,综合判断图表是否准确表达数据,教材12.2习题典型题,教材12.2习题,12.2习题分层选题,是,否
C12-L10,第12章 数据的收集、整理与描述,信息技术应用、图说数学史、数学活动,统计图的信息技术应用与数学活动,activity_lesson,178—182,185—189,1,45,用信息技术画统计图；统计学发展；统计活动,条形图、扇形图、折线图和直方图,选择工具准确录入数据并核对图表,判断工具输出与原始数据是否一致,信息技术应用“利用信息技术工具画统计图”；图说数学史“统计学点滴”；教材第182页数学活动,上机任务、阅读记录与活动展示,统计图电子作品与说明,是,是
C12-L11,第12章 数据的收集、整理与描述,小结与复习题12,数据的收集、整理与描述章末复习,review_lesson,183—187,190—194,1,45,统计调查；抽样；统计表与统计图；直方图；趋势图,第十二章全部内容,构建“收集—整理—描述—分析”统计流程,针对实际目的选择方法并作合理推断,教材小结典型问题,教材复习题12,复习题12分层选题,是,否
C12-L12,第12章 数据的收集、整理与描述,综合与实践,白昼时长规律的探究,integrated_practice,188—192,195—199,1,45,数据收集；统计图；趋势描述；周期规律；合作研究,第十二章统计方法；平面直角坐标系,用数据和图表描述白昼时长变化规律,控制变量、解释地区差异并评价结论,综合与实践“白昼时长规律的探究”,团队方案、数据图表、成果展示与评价,完善探究报告,是,是
