课时编号,课题,教学设计DOCX,教学设计PDF,PPTX,学生学案DOCX,学生学案PDF,教师版DOCX,教师版PDF,内容检查状态,版面检查状态,答案检查状态,完成时间,问题备注
C08-L03,算术平方根的估算与应用,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L04,立方根,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L05,无理数与实数,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L06,实数的性质与简单运算,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L07,根号2的无理性与实数数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C08-L08,实数章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L01,平面直角坐标系与点的坐标,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:34,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L02,用坐标描述图形和位置,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L03,用方向和距离描述位置,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L04,点的平移与坐标变化,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L05,坐标变化与图形平移,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L06,平面直角坐标系数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C09-L07,平面直角坐标系章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L01,二元一次方程组的概念,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L02,代入消元法,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L03,加减消元法的基本应用,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L04,加减消元法的灵活应用,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L05,实际问题与二元一次方程组（一）,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L06,实际问题与二元一次方程组（二）,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L07,三元一次方程组的解法,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L08,中国古代的多元一次方程组,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L09,二元一次方程组数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C10-L10,二元一次方程组章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L01,不等式及其解集,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L02,不等式的性质,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L03,不等式的应用与比较大小,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L04,解一元一次不等式,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:35,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L05,一元一次不等式的应用,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L06,一元一次不等式组,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L07,不等式与不等式组数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L08,不等式与不等式组章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C11-L09,低碳生活,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L01,全面调查与数据整理,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L02,抽样调查,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L03,统计调查的选择与实践,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L04,条形图与扇形图,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L05,复合条形图与复合折线图,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L06,频数分布表与直方图,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L07,直方图的应用与解释,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L08,用趋势图描述两个量的关系,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L09,统计图的选择与综合应用,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L10,统计图的信息技术应用与数学活动,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L11,数据的收集、整理与描述章末复习,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
C12-L12,白昼时长规律的探究,通过,通过,通过,通过,通过,通过,通过,通过,通过（教学设计最终PDF已渲染）,通过,2026-08-03 13:36,教学设计PDF由LibreOffice无界面模式从最终DOCX直接导出；其余成品沿用既有通过检查版本。
